license_nbr,license_type,lic_expir_dd,license_status,license_creation_date,industry,business_name,address_building,address_street_name,address_city,address_state,address_zip,contact_phone,address_borough,detail,community_board,council_district,bin,bbl,nta,census_tract,longitude,latitude,location
0967332-DCA,Business,2017-02-28,Inactive,2010-02-04,Home Improvement Contractor,"BARBARINO, JOHN JR.",239,MEDFORD CT,MANALAPAN,NJ,07726,0985214786,Outside NYC,,,,,,,,-73.94591110800667,40.72091406112227,
2103411-DCA,Individual,2024-03-31,Active,2022-01-11,Sightseeing Guide,"NIECIAK, JOSEPH",No Building Info,,BROOKLYN,NY,11214,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2060087-DCA,Individual,2024-03-31,Active,2017-10-31,Sightseeing Guide,"ARCARO, TYLER",No Building Info,,NEW YORK,NY,10028,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2078026-DCA,Individual,2024-03-31,Active,2018-09-11,Sightseeing Guide,"HESSE, DAPHNEE",No Building Info,,Vancouver,British Columbia,V6Z1C,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2057801-DCA,Individual,2019-02-28,Inactive,2017-09-01,Home Improvement Salesperson,"ESCOBAR, KEVIN",No Building Info,,CHESTER,PA,19013,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1415974-DCA,Individual,2012-10-31,Inactive,2011-12-21,Tow Truck Driver,"MIRABELLA, DONNA",No Building Info,,STATEN ISLAND,NY,10302,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2021326-DCA,Individual,2017-02-28,Inactive,2015-04-20,Home Improvement Salesperson,"BEHAR, LARRY",No Building Info,,WANTAGH,NY,11793,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
0867157-DCA,Individual,2024-03-31,Active,2000-05-23,Sightseeing Guide,"RACOND, BRUCE I",No Building Info,,NEW YORK,NY,10023,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2029953-DCA,Individual,2016-10-31,Inactive,2015-10-29,Tow Truck Driver,"RODRIGUEZ, JUAN",No Building Info,,BRONX,NY,10460,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2107503-DCA,Individual,2023-07-31,Active,2022-07-15,Ticket Seller,"ABUBAKAR, ALI",No Building Info,,BRONX,NY,10454,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2109525-DCA,Individual,2023-04-30,Inactive,2022-10-25,Pedicab Driver,"TEBBAKH, ABDELGHANI",No Building Info,,ASTORIA,NY,11106,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2006098-DCA,Individual,2016-06-15,Inactive,2014-04-10,Auctioneer,"WU, JIAN",No Building Info,,FLUSHING,NY,11354,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1383858-DCA,Individual,2012-10-31,Inactive,2011-03-02,Tow Truck Driver,"LAMARCHE, CHRISTOPHER JOHN",No Building Info,,BRONX,NY,10452,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1419491-DCA,Individual,2014-09-30,Inactive,2012-02-13,General Vendor,"DOUGLAS, BRUCE",No Building Info,,ROSEDALE,NY,11422,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1071873-DCA,Individual,2005-10-31,Inactive,2001-01-23,Home Improvement Salesperson,"MCLAUGHLIN, MICHAEL P.",No Building Info,,BELLMORE,NY,11710,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1462992-DCA,Individual,2014-04-30,Inactive,2013-04-19,Pedicab Driver,"NAZLICAN, SULEYMAN",No Building Info,,NORTH BALDWIN,NY,11510,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2006297-DCA,Individual,2014-10-31,Inactive,2014-04-15,Tow Truck Driver,"MENDEZ, DAISY",No Building Info,,STATEN ISLAND,NY,10314,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2080839-DCA,Individual,,Inactive,2018-12-19,Home Improvement Salesperson,"FILIPCHENKO, VITALY",No Building Info,,NEW YORK,NY,10010,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
0365714-DCA,Business,2005-03-31,Inactive,1997-04-08,Garage,THE GARDENS 75TH STREET OWNERS CORP.,3538,75TH ST,JACKSON HTS,NY,11372,2127270700,Queens,4.0,403.0,25.0,4029562.0,4012740020.0,QN28,289.0,-73.89113569640881,40.75074488262595,"
,  
(40.75074488262595, -73.89113569640881)"
1076184-DCA,Business,2004-12-31,Inactive,2001-04-02,Tobacco Retail Dealer,"JALIL, MOHAMMED ABDUL",2017,CHURCH AVE,BROOKLYN,NY,11226,7189410211,Brooklyn,3.0,314.0,40.0,3116556.0,3050810039.0,BK42,50801.0,-73.96073707845565,40.6501225946322,"
,  
(40.6501225946322, -73.96073707845565)"
1353669-DCA,Individual,2016-03-31,Inactive,2010-05-10,Sightseeing Guide,Unknown Business,No Building Info,,Unknown City,NY,Unknown ZIP,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1216412-DCA,Individual,2014-10-31,Inactive,2008-07-09,Tow Truck Driver,"ALSTON-MCDUFFIE, EDWARD",No Building Info,,BROOKLYN,NY,11207,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2004552-DCA,Individual,2016-04-30,Inactive,2014-03-10,Pedicab Driver,"KARAKIS, AHMET",No Building Info,,NEW YORK,NY,10019,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2061591-DCA,Business,2021-12-31,Inactive,2017-11-25,Laundries,SING WAH LAUNDROMAT INC.,6914,4TH AVE,BROOKLYN,NY,11209,212-233-7016,Brooklyn,3.0,310.0,43.0,3145701.0,3058720047.0,BK31,68.0,-74.02362065616948,40.63439650603149,"
,  
(40.63439650603149, -74.02362065616948)"
2009334-DCA,Business,2020-05-23,Inactive,2014-06-09,Sidewalk Cafe,DCB DELANCEY CORPORATION,1,DELANCEY ST,NEW YORK,NY,10002,No Contact Available,Manhattan,1.0,103.0,1.0,1005662.0,1004240012.0,MN27,18.0,-73.99382027141543,40.72024156832882,"
,  
(40.720241568328824, -73.99382027141543)"
2016468-DCA,Individual,,Inactive,2014-12-15,Home Improvement Salesperson,Unknown Business,No Building Info,,BAYSIDE,NY,11360,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2038840-DCA,Business,2021-07-31,Inactive,2016-06-09,Secondhand Dealer - General,MD BROADWAY ELECTRONICS LLC,1888,JEROME AVE,BRONX,NY,10453,9176454480,Bronx,2.0,205.0,14.0,2013962.0,2031790031.0,,,-73.90607848934312,40.85520587133494,"
,  
(40.85520587133494, -73.90607848934312)"
0799222-DCA,Individual,2025-05-31,Active,2003-06-09,Locksmith,"VAGLICA, MICHAEL",No Building Info,,PLAINVIEW,NY,11803,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2104048-DCA,Business,2024-06-30,Active,2022-02-22,Electronic & Appliance Service,L & F GROUP INC,87,ELIZABETH ST,NEW YORK,NY,10013,9175306045,Manhattan,1.0,102.0,1.0,1086597.0,1002387503.0,,,-73.9960137864345,40.71813094517476,"
,  
(40.71813094517476, -73.9960137864345)"
2103416-DCA,Individual,2024-03-31,Active,2022-01-11,Sightseeing Guide,"DOWD, TIMOTHY",No Building Info,,NEW YORK,NY,10003,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2000792-DCA,Business,2015-07-31,Inactive,2013-11-18,Secondhand Dealer - Auto,RECOVERY RACING V LLC,619,W 54TH ST,NEW YORK,NY,10019,No Contact Available,Manhattan,1.0,,,,,MN15,135.0,-73.94591110800667,40.72091406112227,
2107577-DCA,Individual,2023-09-30,Active,2022-07-19,General Vendor,"ENCARNACION, MADALLY",No Building Info,,BRONX,NY,10461,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2093407-DCA,Individual,2022-10-31,Inactive,2020-01-07,Tow Truck Driver,"PAKHOMOV, ALEKSANDR",No Building Info,,VALLEY STREAM,NY,11581,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1400302-DCA,Business,2024-06-30,Active,2011-07-14,Electronic & Appliance Service,MD BROADWAY ELECTRONICS LLC,1888,JEROME AVE,BRONX,NY,10453,3476306578,Bronx,2.0,205.0,14.0,2008233.0,2028520009.0,,,-73.9108248022589,40.84982178304856,"
,  
(40.84982178304856, -73.9108248022589)"
1357199-DCA,Business,2024-05-01,Active,2010-06-02,Employment Agency,POLAND EMPLOYMENT AGENCY INC.,861,MANHATTAN AVE,BROOKLYN,NY,11222,7183498787,Brooklyn,3.0,301.0,33.0,3337621.0,3025660041.0,,,-73.9538784546537,40.729295686168165,"
,  
(40.729295686168165, -73.9538784546537)"
1443396-DCA,Business,2019-02-28,Inactive,2012-08-31,Home Improvement Contractor,SINBAD INTERNATIONAL INC.,3964A,47TH ST,SUNNYSIDE,NY,11104,3476129819,Queens,4.0,402.0,26.0,4001474.0,4001490068.0,QN31,169.0,-73.91689867261931,40.7474534382234,"
,  
(40.747453438223395, -73.91689867261931)"
1191726-DCA,Business,2009-06-30,Inactive,2007-09-26,Home Improvement Contractor,"F. J. SCIAME CONSTRUCTION CO., INC.",80,SOUTH ST,NEW YORK,NY,10038,2122322005,Manhattan,1.0,101.0,1.0,1079058.0,1000720031.0,MN25,1502.0,-74.00426318129169,40.70555169055625,"
,  
(40.70555169055625, -74.00426318129169)"
2089276-DCA,Business,2024-06-30,Active,2019-08-07,Electronic & Appliance Service,AVENUE D CELLULAR INC,1080,UTICA AVE,BROOKLYN,NY,11203,7185522050,Brooklyn,3.0,317.0,45.0,3349019.0,3047340032.0,,,-73.92985647239898,40.6467098637637,"
,  
(40.6467098637637, -73.92985647239898)"
2001198-2-DCA,Business,2020-12-31,Inactive,2013-12-02,Tobacco Retail Dealer,2474 QUAD VENTURES INC.,2474,FLATBUSH AVE,BROOKLYN,NY,11234,718-252-0549,Brooklyn,3.0,318.0,46.0,3241945.0,3085420001.0,BK45,662.0,-73.9228393973037,40.61011182394454,"
,  
(40.61011182394454, -73.9228393973037)"
1382144-DCA,Business,2020-08-17,Inactive,2011-02-09,Sidewalk Cafe,IL RIFUGIO INC.,475,COLUMBUS AVE,NEW YORK,NY,10024,2123625454,Manhattan,1.0,107.0,6.0,1031202.0,1011960061.0,MN12,169.0,-73.97369731189198,40.784380716447735,"
,  
(40.784380716447735, -73.97369731189198)"
2074087-1-DCA,Business,2023-11-30,Active,2018-06-21,Electronic Cigarette Dealer,"JASANI, MUNIRA",N/W/C,WEST   46 STREET,NEW YORK,NY,10036,9173251525,Manhattan,1.0,105.0,4.0,,,,,-73.98225540711462,40.75738784087671,"
,  
(40.75738784087671, -73.98225540711462)"
2026969-DCA,Business,2017-02-28,Inactive,2015-08-12,Home Improvement Contractor,ARC. CONSTRUCTION & CONTRACTING CORP.,393,EDGECOMBE AVE,NEW YORK,NY,10031,7185942188,Manhattan,1.0,109.0,9.0,1061184.0,1020540053.0,MN04,23501.0,-73.94042933518563,40.82835528024121,"
,  
(40.82835528024121, -73.94042933518563)"
2015841-DCA,Business,2024-06-30,Active,2014-11-24,Electronic & Appliance Service,ON POINT MOBILE CORP,16916,HILLSIDE AVE,JAMAICA,NY,11432,718-658-5213,Queens,4.0,412.0,27.0,4210190.0,4098250014.0,,,-73.79276836367801,40.7107971274873,"
,  
(40.7107971274873, -73.79276836367801)"
0885795-DCA,Business,2024-09-30,Active,2000-09-19,Newsstand,"PATEL, HANSA M",N/W/C,PINE STREET,NEW YORK,NY,10005,917-592-7944,Manhattan,1.0,101.0,1.0,,,,,-74.0090062482607,40.70694026781641,"
,  
(40.70694026781641, -74.0090062482607)"
2030685-2-DCA,Business,2020-12-31,Inactive,2015-11-20,Tobacco Retail Dealer,RED PLANET INC.,30,AVENUE O,BROOKLYN,NY,11204,718-236-4531,Brooklyn,3.0,311.0,44.0,3174094.0,3065960009.0,BK29,430.0,-73.98416016244268,40.61018878277326,"
,  
(40.61018878277326, -73.98416016244268)"
1333668-DCA,Business,2022-12-31,Inactive,2009-09-21,Tobacco Retail Dealer,"PYUN, KISUN",1440,FOREST AVE,STATEN ISLAND,NY,10302,7184201340,Staten Island,5.0,501.0,49.0,5106785.0,5003930011.0,SI07,201.0,-74.13657697953764,40.62458752996328,"
,  
(40.62458752996328, -74.13657697953764)"
2107492-DCA,Individual,2024-03-31,Active,2022-07-15,Sightseeing Guide,"HIERS, DRAYTON",No Building Info,,FLUSHING,NY,11355,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
